No.,Time,Source,Destination,Protocol,Length,Info
73043,467.552486,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/8/8b3b01129ee665f079c2a63398dc63970307fb01-633994.png?country=us HTTP/1.1 
73213,467.695806,104.121.100.150,192.168.137.174,HTTP,80,HTTP/1.1 200 OK  (PNG)
73251,468.46731,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/f74b19e475739d843de26775f2591b86eb558d9e-935110.png?country=us HTTP/1.1 
73399,468.746262,104.121.100.150,192.168.137.174,HTTP,776,HTTP/1.1 200 OK  (PNG)
73412,468.852602,192.168.137.174,23.205.104.54,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP4487-PCSE00495_00-FUTURIDIUMEPDUSA-U002 HTTP/1.1 
73417,468.881109,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
73419,468.883882,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/5/5d657dd0eeaebbddb29b192f9dc22359124ecb5f-935109.png?country=us HTTP/1.1 
73563,468.990337,104.121.100.150,192.168.137.174,HTTP,1283,HTTP/1.1 200 OK  (PNG)
73575,469.1214,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/9/975feb41315fab049c12c94dffc6c4a999ce9214-935108.png?country=us HTTP/1.1 
73699,469.220541,104.121.100.150,192.168.137.174,HTTP,99,HTTP/1.1 200 OK  (PNG)
73712,469.352314,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/f0be545badd2cfd6c9eba82a14200b648870cacb-935107.png?country=us HTTP/1.1 
73813,469.439815,104.121.100.150,192.168.137.174,HTTP,103,HTTP/1.1 200 OK  (PNG)
73822,470.272289,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP1063/PCSE00879_00/3BPYpgCMWinVb9wWLtdz6ggGpyXm4DgV.png?country=us HTTP/1.1 
73904,470.485168,192.168.137.174,23.205.104.54,HTTP,334,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20101&catid=UP0002-PCSE00655_00--STORE HTTP/1.1 
73907,470.510847,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
73941,471.211823,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP0002/PCSE00655_00/Ou4zd4IahjHKpn3qDQKHlFHQ4vRO4apR.png?country=us HTTP/1.1 
73945,471.238336,192.168.137.174,23.220.124.187,HTTP,258,GET /np/resource/title/NPWR01196_00/rating/NPWR01196_00-rating.xml HTTP/1.1 
73970,471.265104,23.220.124.187,192.168.137.174,HTTP/XML,516,HTTP/1.1 200 OK 
74003,471.271893,23.205.106.188,192.168.137.174,HTTP,1354,HTTP/1.1 200 OK  (PNG)
74022,477.960442,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP4470/PCSE00439_00/5I8KJ8Mg3zm4SKsDEYicYB9kMXPniWYT.png?country=us HTTP/1.1 
74162,479.103341,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/b/b68b1fb4948c593d84d859bcd699066c6de39aa6-396179.png?country=us HTTP/1.1 
74284,479.382709,104.121.100.150,192.168.137.174,HTTP,1455,HTTP/1.1 200 OK  (PNG)
74285,479.383131,192.168.137.174,23.205.104.54,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP4073-PCSE00228_00-GERMINATOR0VITA0-U001 HTTP/1.1 
74292,479.413576,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
74302,479.510948,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/8/84ec053feaa4ad077326c5687360f2d6fb614516-396178.png?country=us HTTP/1.1 
74403,479.614556,104.121.100.150,192.168.137.174,HTTP,1146,HTTP/1.1 200 OK  (PNG)
74414,479.697546,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/8/8df1732f3d9bd162693c8e6b1a5dcfe29df5ee99-396177.png?country=us HTTP/1.1 
74514,479.800584,104.121.100.150,192.168.137.174,HTTP,470,HTTP/1.1 200 OK  (PNG)
74525,479.896088,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/c/c81e1eb4ca87dbaeba3ce7da647e900083f74543-396176.png?country=us HTTP/1.1 
74619,480.020668,104.121.100.150,192.168.137.174,HTTP,1079,HTTP/1.1 200 OK  (PNG)
74638,480.767247,192.168.137.174,23.205.106.188,HTTP,273,GET /cdn/UP2154/PCSE00547_00/1kgNPK2t0aN3voRyGE4upBgM4xfZeC0K.png?country=us HTTP/1.1 
74701,480.865984,23.205.106.188,192.168.137.174,HTTP,177,HTTP/1.1 200 OK  (PNG)
74735,481.546996,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/7/7a2e63b46c679a0a792ba84c6042c5c75279c293-775503.png?country=us HTTP/1.1 
74771,481.586158,192.168.137.174,23.205.104.54,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP9000-PCSA00126_00-GOWCUS030100SHIP-U004 HTTP/1.1 
74823,481.62048,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
74857,481.637977,104.121.100.150,192.168.137.174,HTTP,97,HTTP/1.1 200 OK  (PNG)
74884,481.915818,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/b/bfd7f6f30c0cc540f812e9ca31f11660704c0e08-775501.png?country=us HTTP/1.1 
74993,482.018164,104.121.100.150,192.168.137.174,HTTP,430,HTTP/1.1 200 OK  (PNG)
75005,482.134057,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/a/a6c9fb2f5dd1bdf32c39fef4f526fc991cab0cd3-775499.png?country=us HTTP/1.1 
75164,482.238817,104.121.100.150,192.168.137.174,HTTP,876,HTTP/1.1 200 OK  (PNG)
75175,482.383506,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/fa97fb95e88b451650e1bb55eb525530e04a553a-775497.png?country=us HTTP/1.1 
75294,482.493656,104.121.100.150,192.168.137.174,HTTP,246,HTTP/1.1 200 OK  (PNG)
75310,483.642496,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP2045/PCSE00033_00/WzsQjHLDTjWEXVwJpivGFNRtmMLrBckt.png?country=us HTTP/1.1 
75329,483.681524,23.205.106.152,192.168.137.174,HTTP,495,HTTP/1.1 200 OK  (PNG)
75373,484.468057,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/5/5820b2ed00a66cdad68573c6f3ced060a870d42d-1147096.png?country=us HTTP/1.1 
75512,484.710687,192.168.137.174,23.205.104.54,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP1063-PCSE00879_00-0000000000000000-U002 HTTP/1.1 
75590,484.742948,23.205.104.54,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
75699,484.814027,104.121.100.150,192.168.137.174,HTTP,768,HTTP/1.1 200 OK  (PNG)
75709,484.98901,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/e/ee697ec4da524c0c47ebd09f7168dd4770b0095b-1147095.png?country=us HTTP/1.1 
75917,485.107601,104.121.100.150,192.168.137.174,HTTP,533,HTTP/1.1 200 OK  (PNG)
75932,485.258721,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/d/dfa0dcbf29a6f7856fdce3792af808bc063c0f11-1147094.png?country=us HTTP/1.1 
76128,485.380504,104.121.100.150,192.168.137.174,HTTP,339,HTTP/1.1 200 OK  (PNG)
76138,485.521456,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/4/47d013e429c885bb80d853c0834b75bdb87d538c-1147093.png?country=us HTTP/1.1 
76369,485.653077,104.121.100.150,192.168.137.174,HTTP,522,HTTP/1.1 200 OK  (PNG)
76385,486.621249,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP0036/PCSE00137_00/c1Vk5WPziBj0E9oyKvznZiSuEx0ZHq4I.png?country=us HTTP/1.1 
76441,486.65779,23.205.106.152,192.168.137.174,HTTP,1301,HTTP/1.1 200 OK  (PNG)
76483,487.687474,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/1/1b7569bd4fb503ab3b5fe06192decb83767b768c-887027.png?country=us HTTP/1.1 
76562,487.78039,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP4470-PCSE00439_00-JAWGCULTRASCEA01-U002 HTTP/1.1 
76639,487.813709,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
76726,487.84844,104.121.100.150,192.168.137.174,HTTP,666,HTTP/1.1 200 OK  (PNG)
76753,488.157227,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/c/ce4ecef85134b766c12e84d109487d493ee3daa7-887026.png?country=us HTTP/1.1 
76961,488.30362,104.121.100.150,192.168.137.174,HTTP,382,HTTP/1.1 200 OK  (PNG)
76976,488.444725,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/f/f10b69cec940483e7ac60e946b25bc4822b02cbe-887025.png?country=us HTTP/1.1 
77202,488.631865,104.121.100.150,192.168.137.174,HTTP,1468,HTTP/1.1 200 OK  (PNG)
77212,488.789421,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/c/c92003854cf13d43d59f5a2bd385c4809f52497f-887024.png?country=us HTTP/1.1 
77394,488.95127,104.121.100.150,192.168.137.174,HTTP,1305,HTTP/1.1 200 OK  (PNG)
77407,494.795941,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP4126/PCSE00340_00/Fr4vqj81FUgn3ODB4OxlXV0oRmSFfEvD.png?country=us HTTP/1.1 
77441,494.836626,23.205.106.152,192.168.137.174,HTTP,1316,HTTP/1.1 200 OK  (PNG)
77483,495.360514,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/3/31f6123262d0add60dea138f287806c05811353c-1042314.png?country=us HTTP/1.1 
77615,495.455937,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP2154-PCSE00547_00-GRIMFANDANGOPSVI-U001 HTTP/1.1 
77679,495.484002,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
77704,495.494821,104.121.100.150,192.168.137.174,HTTP,569,HTTP/1.1 200 OK  (PNG)
77735,495.786137,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/4/4561d41289ae28ce3afe08006233e11074d7a181-1042313.png?country=us HTTP/1.1 
77960,495.940554,104.121.100.150,192.168.137.174,HTTP,759,HTTP/1.1 200 OK  (PNG)
77976,496.08517,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/c/c80d94efde37a9c9df076cda8e967cf9dd44ffdc-1042311.png?country=us HTTP/1.1 
78226,496.236553,104.121.100.150,192.168.137.174,HTTP,767,HTTP/1.1 200 OK  (PNG)
78237,496.396856,192.168.137.174,104.121.100.150,HTTP,280,GET /nsx/material/6/68dfaae70ccb370a523efd7920c1dcc967585f38-1042309.png?country=us HTTP/1.1 
78500,496.539908,104.121.100.150,192.168.137.174,HTTP,688,HTTP/1.1 200 OK  (PNG)
78519,499.048203,192.168.137.174,23.205.106.152,HTTP,277,GET /cdn/UP1059/ULUS10228_00/HACNUssCmi4RfYaT5R6ksXReJTqh15al_160.png?country=us HTTP/1.1 
78538,499.082744,23.205.106.152,192.168.137.174,HTTP,1316,HTTP/1.1 200 OK  (PNG)
78549,499.256353,192.168.137.174,23.205.104.45,HTTP,334,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20101&catid=UP2045-PCSE00033_00--STORE HTTP/1.1 
78551,499.287258,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
78586,499.902579,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP2045/PCSE00033_00/eEsJfSSWYODlIA3j7UbP7xRYNKFjCSGk.png?country=us HTTP/1.1 
78594,499.931415,192.168.137.174,23.220.124.187,HTTP,258,GET /np/resource/title/NPWR01196_00/rating/NPWR01196_00-rating.xml HTTP/1.1 
78660,499.960327,23.220.124.187,192.168.137.174,HTTP/XML,516,HTTP/1.1 200 OK 
78662,499.960359,23.205.106.152,192.168.137.174,HTTP,613,HTTP/1.1 200 OK  (PNG)
78675,500.034392,192.168.137.174,23.205.106.152,HTTP,273,GET /cdn/UP2045/PCSE00033_00/8oqSnLUWwBwEx8FoDqJ9U1wNvwYY1Bzp.png?country=us HTTP/1.1 
78715,500.074056,23.205.106.152,192.168.137.174,HTTP,94,HTTP/1.1 200 OK  (PNG)
78796,502.767856,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/6/6ca70b6faf949561a1e69a7e16d2b0e365410e98-492333.png?country=us HTTP/1.1 
78943,503.076142,192.168.137.174,23.205.104.45,HTTP,349,GET /nsx-e/psp2?sid=4767E86864F9EDF3C38C76D2AA51A2D5E4610F2776068FAB2000CCC5A3DAC12D&c=us&l=1&e=20201&skuid=UP2045-PCSE00033_00-PGUACAMELE000002-U001 HTTP/1.1 
78969,503.10768,23.205.104.45,192.168.137.174,HTTP,231,HTTP/1.1 404 Not Found 
79101,503.152343,104.121.100.150,192.168.137.174,HTTP,1227,HTTP/1.1 200 OK  (PNG)
79110,503.320158,192.168.137.174,104.121.100.150,HTTP,279,GET /nsx/material/2/28ac154d129164c1ab306bc5db5771ed254b6ad4-492332.png?country=us HTTP/1.1 
79402,503.684383,104.121.100.150,192.168.137.174,HTTP,623,HTTP/1.1 200 OK  (PNG)
