"No.","Time","Source","Destination","Protocol","Length","Info"
"161","7.104705","192.168.137.186","104.82.23.30","TCP","66","59331  >  443 [ACK] Seq=1549 Ack=6884 Win=65258 Len=0 TSval=1 TSecr=421654877"
"162","7.104705","192.168.137.186","104.82.23.30","TLSv1.1","119","Encrypted Alert"
"163","7.105527","192.168.137.186","104.82.23.30","TCP","66","59331  >  443 [FIN, ACK] Seq=1602 Ack=6884 Win=65535 Len=0 TSval=1 TSecr=421654877"
"164","7.107818","192.168.137.186","104.82.23.30","TCP","78","59328  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=1 SACK_PERM=1 TSval=0 TSecr=0"
"165","7.130191","104.82.23.30","192.168.137.186","TCP","54","443  >  59331 [RST] Seq=6884 Win=0 Len=0"
"166","7.130275","23.36.32.208","192.168.137.186","TCP","66","443  >  59329 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=1168263423 TSecr=0"
"167","7.130339","23.36.32.208","192.168.137.186","TLSv1.1","1514","Server Hello"
"168","7.130358","23.36.32.208","192.168.137.186","TCP","1514","443  >  59329 [ACK] Seq=1449 Ack=61 Win=29056 Len=1448 TSval=1168263423 TSecr=0 [TCP segment of a reassembled PDU]"
"169","7.130377","104.82.23.30","192.168.137.186","TCP","54","443  >  59331 [RST] Seq=6884 Win=0 Len=0"
"170","7.130397","23.36.32.208","192.168.137.186","TLSv1.1","245","Certificate, Server Hello Done"
"171","7.132567","192.168.137.186","23.36.32.208","TCP","66","59329  >  443 [ACK] Seq=61 Ack=2897 Win=62804 Len=0 TSval=0 TSecr=1168263423"
"172","7.132991","104.82.23.30","192.168.137.186","TCP","74","443  >  59328 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=421654909 TSecr=0 WS=128"
"173","7.135523","192.168.137.186","104.82.23.30","TCP","66","59328  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=0 TSval=0 TSecr=421654909"
"174","7.137029","192.168.137.186","104.82.23.30","TLSv1.1","126","Client Hello"
"175","7.137652","192.168.137.186","23.36.32.208","TCP","66","59329  >  443 [ACK] Seq=61 Ack=3076 Win=65535 Len=0 TSval=0 TSecr=1168263423"
"176","7.158639","52.11.11.135","192.168.137.186","TLSv1.1","391","Application Data"
"177","7.163346","104.82.23.30","192.168.137.186","TCP","66","443  >  59328 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=421654938 TSecr=0"
"178","7.163381","104.82.23.30","192.168.137.186","TCP","66","[TCP Dup ACK 177#1] 443  >  59328 [ACK] Seq=1 Ack=61 Win=29056 Len=0 TSval=421654938 TSecr=0"
"179","7.164643","104.82.23.30","192.168.137.186","TLSv1.1","1514","Server Hello"
"180","7.164674","104.82.23.30","192.168.137.186","TCP","1514","443  >  59328 [ACK] Seq=1449 Ack=61 Win=29056 Len=1448 TSval=421654938 TSecr=0 [TCP segment of a reassembled PDU]"
"181","7.164690","104.82.23.30","192.168.137.186","TCP","1266","443  >  59328 [PSH, ACK] Seq=2897 Ack=61 Win=29056 Len=1200 TSval=421654938 TSecr=0 [TCP segment of a reassembled PDU]"
"182","7.164706","104.82.23.30","192.168.137.186","TCP","1514","443  >  59328 [ACK] Seq=4097 Ack=61 Win=29056 Len=1448 TSval=421654938 TSecr=0 [TCP segment of a reassembled PDU]"
"183","7.167486","192.168.137.186","104.82.23.30","TCP","66","59328  >  443 [ACK] Seq=61 Ack=2897 Win=62804 Len=0 TSval=0 TSecr=421654938"
"184","7.167486","192.168.137.186","104.82.23.30","TCP","66","59328  >  443 [ACK] Seq=61 Ack=5545 Win=60156 Len=0 TSval=0 TSecr=421654938"
"185","7.169246","192.168.137.186","104.82.23.30","TCP","66","[TCP Window Update] 59328  >  443 [ACK] Seq=61 Ack=5545 Win=65535 Len=0 TSval=0 TSecr=421654938"
"186","7.172863","192.168.137.186","52.11.11.135","TLSv1.1","295","Application Data"
"187","7.189802","104.82.23.30","192.168.137.186","TLSv1.1","887","Certificate, Server Hello Done"
"188","7.282727","192.168.137.186","104.82.23.30","TLSv1.1","408","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"189","7.294101","52.11.11.135","192.168.137.186","TLSv1.1","231","Application Data"
"190","7.311780","104.82.23.30","192.168.137.186","TLSv1.1","141","Change Cipher Spec, Encrypted Handshake Message"
"191","7.315395","192.168.137.186","104.82.23.30","TLSv1.1","311","Application Data"
